event_id,is_fraud_real
734c831bb4ef0902,False
21c52a2c9ceb506d,False
047511f66e19b809,False
7e025c702422e2c6,False
11cb763df2d6c3eb,False
e280132152144b95,False
c16760ac689c1c5b,False
47b1b0dce17324a2,False
6bc2024f68c53186,False
22db1f88f9295b7c,False
ead437ac1276a223,False
ebc8ab2b879b160d,False
496e47ec9d7005b0,False
cf1f4607e8b4e1ed,False
6a091e6034981223,False
24d07cb82a6e30f0,False
bc83959fcd630df9,False
516daf89bc996b21,False
6ee0520bdc430df9,False
84f565d5194af5f8,False
86644577a53352ac,False
6a434582b3ae9392,False
5ff5a75b71c5aeaf,False
cfff0164589543a1,False
f3e9cf21952bbd43,False
1316faaef2391eaa,False
b243f197b905be00,False
33e01ba47bb4d7da,False
bf9072274ab4f087,False
95ecd43d779a2a5a,False
7dc43c02f7b375da,False
60331f14335a1bb7,False
b77d6176fc157fcf,False
18d78eb86791a74b,False
705d062611a21756,False
a521cf826d4c0f06,False
75c32931abef7c35,False
cbef8011943b4dbf,False
384ac8b75d269c4d,False
88fe3f9eae977429,False
70094f60119622c4,False
3ccd7e6e0e0bc76f,False
856e44ceec9cd7eb,False
27b28a7533970abf,False
c4627f8acd13d745,False
f9736fdce5b48fe7,False
998bb684f6c13723,False
85492650c8be68de,False
4c977642370f234f,False
10ea087a363e5620,False
c25f86e31474dfcb,False
a2d78c631ddb174b,False
4b4ffc2de5b1b75f,False
dd59f4c7abd5138c,False
8d855cd5ae39a2bd,False
7088058b9d6986ec,False
5e8ac9c2b8485e07,False
81132a98258a63e2,False
1758ac8e70490276,False
b31e8d4e829f976d,False
9d472040eb33bcc7,False
de5c323dbd0effe3,False
760165d606083580,False
088ccce1f4749a40,False
dc02a62e001a1079,False
f854580c24d5132c,False
158de35ca2f90057,False
674e5553566d53c8,False
ed2c9144ba6cc0ff,False
0ac36813b20400ff,False
5bd81d2d487ddb4c,False
6ded7a3b2d91fd77,False
8ef26c09f686f8f2,False
b0d5a89bbcdd8f60,False
4323b6c403a9ad0b,False
efe553f8e7779dab,False
c80bacebc33557fc,False
c8e44436aebb8ed2,False
dbc99e1e1b7a512d,False
2a756e8456e771ad,False
d33c8ebff1695584,False
8a0f7af1f184d804,False
881ac13447f01ae2,False
f0da023e25e834ec,False
c07fb267e515ccb5,False
7049667ad87f5cb1,False
cebfece6898ee662,False
686dbbb22c5613d8,False
3caff49bc02c3ace,False
030fec54fe9e4694,False
4b9ca398d8535c27,False
66b412c48bb93135,False
c0203342b5cd4752,False
6afdc71ea15159fb,False
c072f08f87aa87d0,False
b77d2d7813469038,False
0cdb643495a66560,False
2c051c40a7fabbe3,False
a7837627114800d8,False
0d044aba089684c0,False
ba2104b272eab5ac,False
35d2033536307eba,False
b750dbc0cbc87d6d,False
c78368fa9a644684,False
328505db94720969,False
6c37c1cac496f7a3,False
ebaf9233d4c00825,False
4e5f39de3d9e5024,False
3effa06cc32beffc,False
b64361568ea9380b,False
933374cca175e8f8,False
9b6b4b7183fd4748,False
5e28c98dcfdb6765,False
3d0cb4e8b58a5767,False
f8aa091b21c0d6a9,False
bc4fe6308f5cbe06,False
f6fd72fd439c1e8f,False
8d885c49ace2ede8,False
e5ef41452d108dfc,False
39eecad7572387ef,False
8a20a68baec89bcb,False
28563e1aac3cb792,False
874f88f868ccf9bb,False
d0d457c799ff223b,False
1f3c2cd756acd842,False
39452acb1e4a2c4d,False
cba954cb63ccabde,False
ba9335b9a67c8b10,False
dfd717d8d4d8ed9d,False
4af188d505cf2748,False
c952723d17929643,False
ae20220c575c6b2f,False
bac402865eaf93e5,False
8cda6780ae09c24b,False
f75101f0cea2217a,False
3e6d414ee0be0ef2,False
733a1ad8f92bbec7,False
071055b45ec8cb3b,False
11dc6813b9653f2f,False
ebbf86851703d505,False
5c00dad48985a789,False
1c5b9c77c229b3e0,False
504941d9f9a65924,False
fc1ac572007c0442,False
83a35a8db785431f,False
b64568feb90ec2c9,False
5fcb8ffa6d5948f4,False
a3fac101bd908d03,False
3d929c49456cdb1c,False
763021e6d0f135ed,False
5fa64ffe1371e486,False
72f6fc2a6f9e68f4,False
552d414245fff196,False
3d13a81b0b5e80de,False
89613198afd5333a,False
d020ad689beaf520,False
d5c853841b37b6c4,False
b9f3c30c4a72a0d5,False
e5aba276af295e82,False
29e064a6681a0009,False
1e6e86f5228696d9,False
f32787bacf721a6c,False
4ff9478c5b96a6df,False
07028b24ace67901,False
34492d0b2538818a,False
facd0296b7d70e05,False
c0e19ca8737f4b90,False
703a23c519fdffec,False
ad902f0b6e8a1a00,False
00a2211524632d65,False
1c79f3494331733d,False
30766652c61cfb42,False
469409ec5e1e30a6,False
67f6f5d6320f3356,False
c02a20d52027a046,False
0816fd6e45736d12,False
fa5baa85cba892a3,False
06bec7ca54a10e4e,False
639ee8bfa4e7f226,False
78b8db82daee4567,False
05695357a8d4d6db,False
ec6803727527e7ed,False
660b188a4e5890ec,False
82fd0b112ce288b0,False
924dcb10c7f90001,False
a95261fc636e0f3d,False
4a95cffdd5b0198c,False
867516f4e87e1c4a,False
b83755f77a3e91aa,False
73729d6ebc13a2c0,False
7f420edd67392775,False
6557a34157bc19c8,False
de5a2a5b9a512334,False
9a71af4c7264c539,False
9b48d72997871126,False
76fe8d33fe8874a0,False
e83f72f54bd87c9d,False
4868db7050a32280,False
956f319031551c7f,False
d916583b2da7461d,False
816e995c2d81d514,False
f524b70c581bccb6,False
75fb24f5e14d74cd,False
e7957039ac1dfc95,False
b08cac79754ab70c,False
bf6dd3eb61cc5e01,False
e7e39918e3ad8b9c,False
38318b15cb856472,False
d053dae6329347d3,False
deaa7a78983d3ce4,False
4ff61f97790bd964,False
9d6b8e68c3f3828c,False
3d17e18c8761c7de,False
695dc63c1b7198ca,False
8f3c004dabf1f3c5,False
defc1d7aa3d2f470,False
c245644b6930a664,False
3418f95f129df612,False
d7577c7dd541bd13,False
a1c7ccb34cd7ed7d,False
d2e9defd39c528a5,False
bb465cb581625ee1,False
6f9c767f6a23c891,False
